problem_name,problem_type,problem_goal,dimensions,opt_global,mean_value,mean_weight,PID,fit_func,noise,algo_type,algo_name,n_gens,n_evals,stop_trigger,n_unique_sols,unique_sols,unique_fits,noisy_fits,final_fit,max_fit,min_fit,sol_iterations,sol_transitions,seed,seed_signature
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),0,100,target_reached,1,"[[0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]",[295.0],[295.0],295.0,295.0,295.0,[1],[],1,140891
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),5,600,target_reached,5,"[[0, 0, 0, 0, 0, 1, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0, 1, 1, 1], [0, 1, 1, 0, 1, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[283.0, 293.0, 287.0, 294.0, 295.0]","[283.0, 293.0, 287.0, 294.0, 295.0]",295.0,295.0,283.0,"[1, 2, 1, 1, 1]","[((0, 0, 0, 0, 0, 1, 0, 1, 1, 1), (0, 1, 0, 0, 0, 1, 0, 1, 1, 1)), ((0, 1, 0, 0, 0, 1, 0, 1, 1, 1), (0, 0, 0, 0, 1, 1, 0, 1, 1, 1)), ((0, 0, 0, 0, 1, 1, 0, 1, 1, 1), (0, 1, 1, 0, 1, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 1, 0, 0, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",2,905035
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),3,400,target_reached,4,"[[0, 0, 1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0, 0, 1, 1, 1], [0, 0, 1, 0, 1, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[285.0, 242.0, 284.0, 295.0]","[285.0, 242.0, 284.0, 295.0]",295.0,295.0,242.0,"[1, 1, 1, 1]","[((0, 0, 1, 1, 0, 0, 0, 1, 1, 1), (0, 0, 0, 1, 1, 0, 0, 1, 1, 1)), ((0, 0, 0, 1, 1, 0, 0, 1, 1, 1), (0, 0, 1, 0, 1, 0, 0, 1, 1, 1)), ((0, 0, 1, 0, 1, 0, 0, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",3,249523
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),6,700,target_reached,6,"[[0, 0, 1, 0, 0, 1, 0, 1, 1, 0], [1, 1, 0, 0, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 1, 0, 0, 1, 1, 1], [0, 1, 1, 0, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[243.0, 237.0, 294.0, 290.0, 293.0, 295.0]","[243.0, 237.0, 294.0, 290.0, 293.0, 295.0]",295.0,295.0,237.0,"[1, 1, 2, 1, 1, 1]","[((0, 0, 1, 0, 0, 1, 0, 1, 1, 0), (1, 1, 0, 0, 0, 0, 0, 0, 1, 1)), ((1, 1, 0, 0, 0, 0, 0, 0, 1, 1), (0, 1, 1, 0, 1, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 1, 0, 0, 1, 1, 1), (0, 1, 1, 0, 0, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 0, 0, 0, 1, 1, 1), (0, 1, 0, 0, 0, 1, 0, 1, 1, 1)), ((0, 1, 0, 0, 0, 1, 0, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",4,247514
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),4,500,target_reached,3,"[[1, 1, 1, 0, 0, 0, 0, 1, 0, 1], [0, 1, 1, 0, 1, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[260.0, 294.0, 295.0]","[260.0, 294.0, 295.0]",295.0,295.0,260.0,"[1, 3, 1]","[((1, 1, 1, 0, 0, 0, 0, 1, 0, 1), (0, 1, 1, 0, 1, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 1, 0, 0, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",5,653159
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),3,400,target_reached,3,"[[0, 1, 1, 0, 0, 1, 0, 1, 0, 1], [0, 1, 0, 0, 0, 1, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[255.0, 293.0, 295.0]","[255.0, 293.0, 295.0]",295.0,295.0,255.0,"[1, 2, 1]","[((0, 1, 1, 0, 0, 1, 0, 1, 0, 1), (0, 1, 0, 0, 0, 1, 0, 1, 1, 1)), ((0, 1, 0, 0, 0, 1, 0, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",6,831877
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),6,700,target_reached,5,"[[0, 1, 0, 1, 1, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1, 1, 1], [0, 1, 1, 0, 1, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[252.0, 293.0, 280.0, 294.0, 295.0]","[252.0, 293.0, 280.0, 294.0, 295.0]",295.0,295.0,252.0,"[1, 3, 1, 1, 1]","[((0, 1, 0, 1, 1, 0, 0, 1, 1, 1), (0, 1, 0, 0, 0, 1, 0, 1, 1, 1)), ((0, 1, 0, 0, 0, 1, 0, 1, 1, 1), (0, 0, 1, 0, 0, 0, 0, 1, 1, 1)), ((0, 0, 1, 0, 0, 0, 0, 1, 1, 1), (0, 1, 1, 0, 1, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 1, 0, 0, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",7,339563
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),0,100,target_reached,1,"[[0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]",[295.0],[295.0],295.0,295.0,295.0,[1],[],8,237718
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),3,400,target_reached,4,"[[0, 0, 1, 0, 1, 0, 0, 1, 1, 1], [0, 0, 1, 0, 1, 1, 0, 0, 1, 1], [0, 1, 1, 0, 0, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[284.0, 273.0, 290.0, 295.0]","[284.0, 273.0, 290.0, 295.0]",295.0,295.0,273.0,"[1, 1, 1, 1]","[((0, 0, 1, 0, 1, 0, 0, 1, 1, 1), (0, 0, 1, 0, 1, 1, 0, 0, 1, 1)), ((0, 0, 1, 0, 1, 1, 0, 0, 1, 1), (0, 1, 1, 0, 0, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 0, 0, 0, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",9,485498
knapsack,discrete,maximise,10,295.0,41.2,53.9,knapsack_10,eval_noisy_kp_v1,0,UMDA,UMDA(p=100),7,800,target_reached,7,"[[1, 1, 0, 1, 0, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 0, 1, 1, 1], [0, 1, 1, 0, 0, 0, 0, 1, 1, 1], [0, 1, 1, 0, 1, 0, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 0, 1, 1, 1]]","[242.0, 274.0, 283.0, 293.0, 290.0, 294.0, 295.0]","[242.0, 274.0, 283.0, 293.0, 290.0, 294.0, 295.0]",295.0,295.0,242.0,"[1, 1, 1, 2, 1, 1, 1]","[((1, 1, 0, 1, 0, 0, 0, 0, 1, 1), (1, 0, 1, 0, 0, 0, 0, 0, 1, 1)), ((1, 0, 1, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0, 0, 0, 1, 0, 1, 1, 1)), ((0, 0, 0, 0, 0, 1, 0, 1, 1, 1), (0, 1, 0, 0, 0, 1, 0, 1, 1, 1)), ((0, 1, 0, 0, 0, 1, 0, 1, 1, 1), (0, 1, 1, 0, 0, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 0, 0, 0, 1, 1, 1), (0, 1, 1, 0, 1, 0, 0, 1, 1, 1)), ((0, 1, 1, 0, 1, 0, 0, 1, 1, 1), (0, 1, 1, 1, 0, 0, 0, 1, 1, 1))]",10,599159
